"words"	"Freq"
"interferon"	1
"interferons"	1
"interleukin"	1
"interpretation"	1
"interventions"	1
"intra-aortic"	1
"introduction"	1
"investigational"	1
"involves"	1
"involving"	1
"ip10"	1
"isoenzyme-mb"	1
"isoform"	1
"kda"	1
"kidneys"	1
"kinase"	1
"king"	1
"laboratory-testing"	1
"least"	1
"less"	1
"life"	1
"lilavati"	1
"list"	1
"liver"	1
"long"	1
"lopinavir"	1
"lower"	1
"lpc"	1
"lysophosphatidylcholine"	1
"maaz-here@hotmail"	1
"macrophage"	1
"made"	1
"magnetic"	1
"market"	1
"mas"	1
"matrix"	1
"mcp1"	1
"means"	1
"measurements"	1
"med"	1
"medication"	1
"medicines"	1
"membrane"	1
"mers"	1
"mers-cov)"	1
"methods"	1
"mi"	1
"mini-review"	1
"mip1a"	1
"mitochondrial"	1
"mof"	1
"molecular"	1
"monitoring"	1
"monocyte"	1
"morbidity"	1
"more"	1
"mortality"	1
"mri"	1
"multiple"	1
"myo"	1
"myohe-moglobin"	1
"myriad"	1
"n-terminal"	1
"nanavati"	1
"natriuretic"	1
"necrosis"	1
"neuronal"	1
"nevertheless"	1
"news"	1
"noida"	1
"non-specialists"	1
"none"	1
"novo"	1
"nt-probnp"	1
"nucleic"	1
"nucleoprotein"	1
"number"	1
"often"	1
"once"	1
"opinion"	1
"optimal"	1
"orfs"	1
"organ"	1
"organs"	1
"oxygenation"	1
"packing"	1
"pandemics"	1
"patient"	1
"patil@glenmarkpharma"	1
"pcps"	1
"peptide"	1
"percutaneous"	1
"period"	1
"perspective"	1
"pharmacodynamics"	1
"pharmacokinetics"	1
"pharmacological"	1
"phenotypes"	1
"phenotypic"	1
"phylogenetic"	1
"pipeline"	1
"pmc7834723"	1
"pmcid"	1
"pneumonia"	1
"point-of-care"	1
"polypeptide"	1
"postulated"	1
"predominantly"	1
"prevalent"	1
"preventing"	1
"prevention"	1
"pro-brain"	1
"production"	1
"prognosis"	1
"prominent"	1
"promising"	1
"protection"	1
"protein-1"	1
"proteins"	1
"provide"	1
"providing"	1
"public"	1
"pubmed"	1
"raised"	1
"rapid"	1
"rapidly"	1
"ras"	1
"recent"	1
"receptors"	1
"recognizing"	1
"recombinant"	1
"recommended"	1
"reduce"	1
"reduced"	1
"regards"	1
"relationships"	1
"renin-angiotensin"	1
"replication"	1
"report"	1
"reports"	1
"repositioning"	1
"repurposed"	1
"resonance"	1
"rhace2"	1
"ribavirin"	1
"right"	1
"risks"	1
"ritonavir"	1
"riyadh"	1
"role"	1
"sa"	1
"safety"	1
"saiprasad"	1
"sars"	1
"sars-cov"	1
"sars-cov2"	1
"saudi"	1
"scenarios"	1
"scholar"	1
"science"	1
"scopus"	1
"searched"	1
"selected"	1
"selective"	1
"sequelae"	1
"sequence"	1
"services"	1
"severity"	1
"sgrnas"	1
"shared"	1
"should"	1
"shown"	1
"similar"	1
"similarities"	1
"single-stranded"	1
"six"	1
"sleep"	1
"sore"	1
"specialty"	1
"specimen"	1
"spread"	1
"strain"	1
"strategy"	1
"structural"	1
"structure"	1
"structures"	1
"studied"	1
"studies"	1
"suggested"	1
"super"	1
"synhace2"	1
"szaidi@kfmc"	1
"t"	1
"target"	1
"targets"	1
"technique"	1
"techniques"	1
"terms"	1
"testing"	1
"th"	1
"those"	1
"though"	1
"throat"	1
"through"	1
"thus"	1
"timely"	1
"timing"	1
"tissue"	1
"tnf-î±"	1
"tocilizumab"	1
"together"	1
"tomography"	1
"tract"	1
"traditional"	1
"translated"	1
"treated"	1
"treatment/management"	1
"trialed"	1
"trials"	1
"triphosphate"	1
"troponin"	1
"tumor"	1
"typical"	1
"uninfected"	1
"unit"	1
"unusual"	1
"upon"	1
"upper"	1
"uptake"	1
"used"	1
"uses"	1
"various"	1
"varying"	1
"via"	1
"virus-related"	1
"within"	1
"workers"	1
"worldwide"	1
"wuhan"	1
"years"	1
